Individual;rdf:type;hpcc:hasTargetValue;sosa:isHostedBy;sosa:madeObservation;sosa:observes;ssn:detects
FreeCoolerStatusSensor;hpcc:FreeCoolerSensor;;FreeCooler;;Status;
FreeCoolerReturnSensor;hpcc:FreeCoolerSensor;;FreeCooler;;Status;
FreeCoolerUP4StatusSensor;hpcc:FreeCoolerSensor;;FreeCooler;;Status;
FreeCoolerUP4RotationSpeedSensor;hpcc:FreeCoolerSensor;;FreeCooler;FreeCoolerUP4RotationSpeedMean;RotationSpeed;
FreeCoolerUP4InletPressureSensor;hpcc:FreeCoolerSensor;;FreeCooler;FreeCoolerUP4InletPressureMean;Pressure;
FreeCoolerUP4OutletPressureSensor;hpcc:FreeCoolerSensor;;FreeCooler;FreeCoolerUP4OutletPressureMean;Pressure;
FreeCoolerFlowInPressureSensor;hpcc:FreeCoolerSensor;;FreeCooler;FreeCoolerFlowInPressureMean;Pressure;
FreeCoolerFlowReturnPressureSensor;hpcc:FreeCoolerSensor;;FreeCooler;FreeCoolerFlowReturnPressureMean;Pressure;
FreeCoolerFlowInTemperatureSensor;hpcc:FreeCoolerSensor;;FreeCooler;FreeCoolerFlowInTemperatureMean;Temperature;
FreeCoolerFlowReturnTemperatureSensor;hpcc:FreeCoolerSensor;;FreeCooler;FreeCoolerFlowReturnTemperatureMean;Temperature;
FreeCoolerAchievedDifferentialPressureVirtualSensor;hpcc:FreeCoolerSensor;FreeCoolerDifferentialPressureTargetValue;FreeCooler;FreeCoolerTargetDifferentialPressureMean;DeltaPressure;
