Individual;rdf:type;hpcc:hasTargetValue;sosa:isHostedBy;sosa:madeObservation;sosa:observes;ssn:detects
HeatExchangerPrimaryFlowInTemperatureSensor;hpcc:HeatExchangerSensor;HeatExchangerFlowInTemperatureTargetValue;HeatExchanger;HeatExchangerPrimaryFlowInTemperatureMean;Temperature;
HeatExchangerPrimaryFlowReturnTemperatureSensor;hpcc:HeatExchangerSensor;;HeatExchanger;HeatExchangerPrimaryFlowReturnTemperatureMean;Temperature;
HeatExchangerSecondaryFlowInTemperatureSensor;hpcc:HeatExchangerSensor;;HeatExchanger;HeatExchangerSecondaryFlowInTemperatureMean;Temperature;
HeatExchangerSecondaryFlowReturnTemperatureSensor;hpcc:HeatExchangerSensor;;HeatExchanger;HeatExchangerSecondaryFlowReturnTemperatureMean;Temperature;
HeatExchangerPrimaryFlowInPressureSensor;hpcc:HeatExchangerSensor;;HeatExchanger;HeatExchangerPrimaryFlowInPressureMean;Pressure;
HeatExchangerPrimaryFlowReturnPressureSensor;hpcc:HeatExchangerSensor;;HeatExchanger;HeatExchangerPrimaryFlowReturnPressureMean;Pressure;
HeatExchangerUPRotationSpeedSensor;hpcc:HeatExchangerSensor;;HeatExchanger;HeatExchangerUPRotationSpeedMean;RotationSpeed;
HeatExchangerUPStatusSensor;hpcc:HeatExchangerSensor;;HeatExchanger;;Status;
HeatExchangerUPFlowStatusSensor;hpcc:HeatExchangerSensor;;HeatExchanger;;Status;
HeatExchangerOperatingModeSensor;hpcc:HeatExchangerSensor;;HeatExchanger;;State;
HeatExchangerPrimaryFlowReturnFilterOutletPressureSensor;hpcc:HeatExchangerSensor;;HeatExchanger;HeatExchangerPrimaryFlowReturnFilterOutletPressureMean;Pressure;
HeatExchangerAchievedDifferentialPressureVirtualSensor;hpcc:HeatExchangerSensor;HeatExchangerDifferentialPressureTargetValue;HeatExchanger;HeatExchangerAchievedDifferentialPressureMean;DeltaPressure;
