Individual;rdf:type;hpcc:hasTargetValue;sosa:isHostedBy;sosa:madeObservation;sosa:observes;ssn:detects
HeatPump01StatusSensor;hpcc:HeatPumpSensor;nan;HeatPump01;;Status;
HeatPump01FlowStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump01;;Status;
HeatPump01PressureSwitchStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump01;;Status;
HeatPump01SoleFlowInTemperatureSensor;hpcc:HeatPumpSensor;nan;HeatPump01;HeatPump01SoleFlowInTemperatureMean;Temperature;
HeatPump01SoleFlowReturnTemperatureSensor;hpcc:HeatPumpSensor;nan;HeatPump01;HeatPump01SoleFlowReturnTemperatureMean;Temperature;
HeatPump01HotWaterFlowInTemperatureSensor;hpcc:HeatPumpSensor;HeatPump01TemperatureTargetValue;HeatPump01;HeatPump01HotWaterFlowInTemperatureMean;Temperature;
HeatPump01HotWaterFlowInTemperatureSensor;hpcc:HeatPumpSensor;HeatPump01TemperatureTargetTolerance;HeatPump01;HeatPump01HotWaterFlowInTemperatureMean;Temperature;
HeatPump01HotWaterFlowReturnTemperatureSensor;hpcc:HeatPumpSensor;nan;HeatPump01;HeatPump01HotWaterFlowReturnTemperatureMean;Temperature;
HeatPump01HighPressureSensor;hpcc:HeatPumpSensor;nan;HeatPump01;HeatPump01HighPressureMean;Pressure;
HeatPump01InValveStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump01;;Status;
HeatPump01InValvePositionSensor;hpcc:HeatPumpSensor;nan;HeatPump01;HeatPump01InValvePositionMean;Position;
HeatPump01OutValveStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump01;;Status;
HeatPump01OutValvePositionSensor;hpcc:HeatPumpSensor;nan;HeatPump01;HeatPump01OutValvePositionMean;Position;
HeatPump02StatusSensor;hpcc:HeatPumpSensor;nan;HeatPump02;;Status;
HeatPump02FlowStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump02;;Status;
HeatPump02PressureSwitchStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump02;;Status;
HeatPump02SoleFlowInTemperatureSensor;hpcc:HeatPumpSensor;nan;HeatPump02;HeatPump02SoleFlowInTemperatureMean;Temperature;
HeatPump02SoleFlowReturnTemperatureSensor;hpcc:HeatPumpSensor;nan;HeatPump02;HeatPump02SoleFlowReturnTemperatureMean;Temperature;
