Individual;rdf:type;qudt:hasUnit;sosa:hasFeatureOfInterest;sosa:hasSimpleResult;sosa:madeBySensor;sosa:observedProperty
FreeCoolerUP4RotationSpeedMean;hpcc:MeanObservation;PERCENT;FreeCoolerRotationSpeed;31.729;FreeCoolerUP4RotationSpeedSensor;RotationSpeed
FreeCoolerUP4InletPressureMean;hpcc:MeanObservation;BAR;FreeCoolerPressure;1.632;FreeCoolerUP4InletPressureSensor;Pressure
FreeCoolerUP4OutletPressureMean;hpcc:MeanObservation;BAR;FreeCoolerPressure;2.331;FreeCoolerUP4OutletPressureSensor;Pressure
FreeCoolerFlowInPressureMean;hpcc:MeanObservation;BAR;FreeCoolerPressure;1.644;FreeCoolerFlowInPressureSensor;Pressure
FreeCoolerFlowReturnPressureMean;hpcc:MeanObservation;BAR;FreeCoolerPressure;1.572;FreeCoolerFlowReturnPressureSensor;Pressure
FreeCoolerFlowInTemperatureMean;hpcc:MeanObservation;DEG_C;FreeCoolerTemperature;30.851;FreeCoolerFlowInTemperatureSensor;Temperature
FreeCoolerFlowReturnTemperatureMean;hpcc:MeanObservation;DEG_C;FreeCoolerTemperature;19.366;FreeCoolerFlowReturnTemperatureSensor;Temperature
FreeCoolerTargetDifferentialPressureMean;hpcc:MeanObservation;BAR;FreeCoolerPressure;0.7;FreeCoolerAchievedDifferentialPressureVirtualSensor;DeltaPressure
ReCoolerRotationSpeedMean;hpcc:MeanObservation;PERCENT;RecoolerRotationSpeed;47.885;ReCoolerRotationSpeedSensor;RotationSpeed
ReCoolerFlowInTemperatureMean;hpcc:MeanObservation;DEG_C;RecoolerTemperature;19.539;ReCoolerFlowInTemperatureSensor;Temperature
ReCoolerFlowReturnTemperatureMean;hpcc:MeanObservation;DEG_C;RecoolerTemperature;10.271;ReCoolerFlowReturnTemperatureSensor;Temperature
ReCoolerFlowInPressureMean;hpcc:MeanObservation;BAR;RecoolerPressure;1.225;ReCoolerFlowInPressureSensor;Pressure
ReCoolerFlowReturnPressureMean;hpcc:MeanObservation;BAR;RecoolerPressure;1.284;ReCoolerFlowReturnPressureSensor;Pressure
PumpUP1InletPressureMean;hpcc:MeanObservation;BAR;PumpUP1Pressure;1.355;PumpUP1InletPressureSensor;Pressure
PumpUP1OutletPressureMean;hpcc:MeanObservation;BAR;PumpUP1Pressure;1.42;PumpUP1OutletPressureSensor;Pressure
PumpUP1RotationSpeedMean;hpcc:MeanObservation;PERCENT;PumpUP1RotationSpeed;6.634;PumpUP1RotationSpeedSensor;RotationSpeed
PumpUP1AchievedDifferentialPressureMean;hpcc:MeanObservation;BAR;PumpUP1Pressure;0.115;PumpUP1AchievedDifferentialPressureVirtualSensor;DeltaPressure
HeatPump01SoleFlowInTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump01Temperature;17.09;HeatPump01SoleFlowInTemperatureSensor;Temperature
HeatPump01SoleFlowReturnTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump01Temperature;16.964;HeatPump01SoleFlowReturnTemperatureSensor;Temperature
HeatPump01HotWaterFlowInTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump01Temperature;14.379;HeatPump01HotWaterFlowInTemperatureSensor;Temperature
HeatPump01HotWaterFlowReturnTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump01Temperature;12.457;HeatPump01HotWaterFlowReturnTemperatureSensor;Temperature
HeatPump01HighPressureMean;hpcc:MeanObservation;BAR;HeatPump01Pressure;11.234;HeatPump01HighPressureSensor;Pressure
HeatPump01InValvePositionMean;hpcc:MeanObservation;PERCENT;HeatPump01Position;0.069;HeatPump01InValvePositionSensor;Position
HeatPump01OutValvePositionMean;hpcc:MeanObservation;PERCENT;HeatPump01Position;2.142;HeatPump01OutValvePositionSensor;Position
CoolerFlowInTemperatureMean;hpcc:MeanObservation;DEG_C;CoolerTemperature;17.432;CoolerFlowInTemperatureSensor;Temperature
CoolerFlowReturnTemperatureMean;hpcc:MeanObservation;DEG_C;CoolerTemperature;19.982;CoolerFlowReturnTemperatureSensor;Temperature
CoolerUP3RotationSpeedMean;hpcc:MeanObservation;PERCENT;CoolerUP3RotationSpeed;37.125;CoolerUP3RotationSpeedSensor;RotationSpeed
CoolerUP3FlowInPressureMean;hpcc:MeanObservation;BAR;CoolerUP3Pressure;19.25;CoolerUP3FlowInPressureSensor;Pressure
CoolerUP3FlowReturnPressureMean;hpcc:MeanObservation;BAR;CoolerUP3Pressure;1.232;CoolerUP3FlowReturnPressureSensor;Pressure
CoolerMV1PositionMean;hpcc:MeanObservation;PERCENT;CoolerMV1Position;43.489;CoolerMV1PositionSensor;Position
CoolerMV19PositionMean;hpcc:MeanObservation;PERCENT;CoolerMV19Position;99.661;CoolerMV19PositionSensor;Position
CoolerMV19TemperatureMean;hpcc:MeanObservation;DEG_C;CoolerMV19Temperature;17.426;CoolerMV19TemperatureSensor;Temperature
CoolerUP3AchievedDifferentialPresureMean;hpcc:MeanObservation;BAR;CoolerUP3Pressure;0.701;CoolerUP3AchievedDifferentialPresureVirtualSensor;DeltaPressure
GeneralOutSideTemperatureMean;hpcc:MeanObservation;DEG_C;GeneralOutSideTemperature;0.885;GeneralOutSideTemperatureSensor;Temperature
GeneralRefrigerationRegulationOutputMean;hpcc:MeanObservation;PERCENT;GeneralRefrigerationRegulation;0.006;GeneralRefrigerationRegulationOutputSensor;
HeatExchangerPrimaryFlowInTemperatureMean;hpcc:MeanObservation;DEG_C;HeatExchangerTemperature;21.634;HeatExchangerPrimaryFlowInTemperatureSensor;Temperature
HeatExchangerPrimaryFlowReturnTemperatureMean;hpcc:MeanObservation;DEG_C;HeatExchangerTemperature;21.683;HeatExchangerPrimaryFlowReturnTemperatureSensor;Temperature
HeatExchangerSecondaryFlowInTemperatureMean;hpcc:MeanObservation;DEG_C;HeatExchangerTemperature;21.801;HeatExchangerSecondaryFlowInTemperatureSensor;Temperature
HeatExchangerSecondaryFlowReturnTemperatureMean;hpcc:MeanObservation;DEG_C;HeatExchangerTemperature;21.449;HeatExchangerSecondaryFlowReturnTemperatureSensor;Temperature
HeatExchangerPrimaryFlowInPressureMean;hpcc:MeanObservation;BAR;HeatExchangerPressure;1.416;HeatExchangerPrimaryFlowInPressureSensor;Pressure
HeatExchangerPrimaryFlowReturnPressureMean;hpcc:MeanObservation;BAR;HeatExchangerPressure;1.379;HeatExchangerPrimaryFlowReturnPressureSensor;Pressure
HeatExchangerUPRotationSpeedMean;hpcc:MeanObservation;PERCENT;HeatExchangerUPRotationSpeed;75.378;HeatExchangerUPRotationSpeedSensor;RotationSpeed
HeatExchangerPrimaryFlowReturnFilterOutletPressureMean;hpcc:MeanObservation;BAR;HeatExchangerPressure;1.462;HeatExchangerPrimaryFlowReturnFilterOutletPressureSensor;Pressure
HeatExchangerAchievedDifferentialPressureMean;hpcc:MeanObservation;BAR;HeatExchangerPressure;-0.045;HeatExchangerAchievedDifferentialPressureVirtualSensor;DeltaPressure
HeatPump02SoleFlowInTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump02Temperature;17.103;HeatPump02SoleFlowInTemperatureSensor;Temperature
HeatPump02SoleFlowReturnTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump02Temperature;16.954;HeatPump02SoleFlowReturnTemperatureSensor;Temperature
HeatPump02HotWaterFlowInTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump02Temperature;14.269;HeatPump02HotWaterFlowInTemperatureSensor;Temperature
HeatPump02HotWaterFlowReturnTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump02Temperature;12.474;HeatPump02HotWaterFlowReturnTemperatureSensor;Temperature
HeatPump02HighPressureMean;hpcc:MeanObservation;BAR;HeatPump02Pressure;11.398;HeatPump02HighPressureSensor;Pressure
HeatPump02InValvePositionMean;hpcc:MeanObservation;PERCENT;HeatPump02Position;0.178;HeatPump02InValvePositionSensor;Position
HeatPump02OutValvePositionMean;hpcc:MeanObservation;PERCENT;HeatPump02Position;1.0;HeatPump02OutValvePositionSensor;Position
HeatPump03SoleFlowInTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump03Temperature;17.135;HeatPump03SoleFlowInTemperatureSensor;Temperature
HeatPump03SoleFlowReturnTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump03Temperature;17.076;HeatPump03SoleFlowReturnTemperatureSensor;Temperature
HeatPump03HotWaterFlowInTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump03Temperature;13.917;HeatPump03HotWaterFlowInTemperatureSensor;Temperature
HeatPump03HotWaterFlowReturnTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump03Temperature;12.403;HeatPump03HotWaterFlowReturnTemperatureSensor;Temperature
HeatPump03HighPressureMean;hpcc:MeanObservation;BAR;HeatPump03Pressure;11.408;HeatPump03HighPressureSensor;Pressure
HeatPump03InValvePositionMean;hpcc:MeanObservation;PERCENT;HeatPump03Position;0.058;HeatPump03InValvePositionSensor;Position
HeatPump03OutValvePositionMean;hpcc:MeanObservation;PERCENT;HeatPump03Position;2.187;HeatPump03OutValvePositionSensor;Position
HeatPump04SoleFlowInTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump04Temperature;16.814;HeatPump04SoleFlowInTemperatureSensor;Temperature
HeatPump04SoleFlowReturnTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump04Temperature;16.66;HeatPump04SoleFlowReturnTemperatureSensor;Temperature
HeatPump04HotWaterFlowInTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump04Temperature;14.712;HeatPump04HotWaterFlowInTemperatureSensor;Temperature
HeatPump04HotWaterFlowReturnTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump04Temperature;13.41;HeatPump04HotWaterFlowReturnTemperatureSensor;Temperature
HeatPump04HighPressureMean;hpcc:MeanObservation;BAR;HeatPump04Pressure;11.437;HeatPump04HighPressureSensor;Pressure
HeatPump04InValvePositionMean;hpcc:MeanObservation;PERCENT;HeatPump04Position;0.224;HeatPump04InValvePositionSensor;Position
HeatPump04OutValvePositionMean;hpcc:MeanObservation;PERCENT;HeatPump04Position;1.89;HeatPump04OutValvePositionSensor;Position
HeatPump05SoleFlowInTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump05Temperature;17.319;HeatPump05SoleFlowInTemperatureSensor;Temperature
HeatPump05SoleFlowReturnTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump05Temperature;17.223;HeatPump05SoleFlowReturnTemperatureSensor;Temperature
HeatPump05HotWaterFlowInTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump05Temperature;13.883;HeatPump05HotWaterFlowInTemperatureSensor;Temperature
HeatPump05HotWaterFlowReturnTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump05Temperature;12.544;HeatPump05HotWaterFlowReturnTemperatureSensor;Temperature
HeatPump05HighPressureMean;hpcc:MeanObservation;BAR;HeatPump05Pressure;11.202;HeatPump05HighPressureSensor;Pressure
HeatPump05InValvePositionMean;hpcc:MeanObservation;PERCENT;HeatPump05Position;0.174;HeatPump05InValvePositionSensor;Position
HeatPump05OutValvePositionMean;hpcc:MeanObservation;PERCENT;HeatPump05Position;2.199;HeatPump05OutValvePositionSensor;Position
HeatPump06SoleFlowInTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump06Temperature;17.558;HeatPump06SoleFlowInTemperatureSensor;Temperature
HeatPump06SoleFlowReturnTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump06Temperature;17.097;HeatPump06SoleFlowReturnTemperatureSensor;Temperature
HeatPump06HotWaterFlowInTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump06Temperature;14.001;HeatPump06HotWaterFlowInTemperatureSensor;Temperature
HeatPump06HotWaterFlowReturnTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump06Temperature;12.32;HeatPump06HotWaterFlowReturnTemperatureSensor;Temperature
HeatPump06HighPressureMean;hpcc:MeanObservation;BAR;HeatPump06Pressure;11.515;HeatPump06HighPressureSensor;Pressure
HeatPump06InValvePositionMean;hpcc:MeanObservation;PERCENT;HeatPump06Position;0.123;HeatPump06InValvePositionSensor;Position
HeatPump06OutValvePositionMean;hpcc:MeanObservation;PERCENT;HeatPump06Position;2.19;HeatPump06OutValvePositionSensor;Position
HeatPump07SoleFlowInTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump07Temperature;17.31;HeatPump07SoleFlowInTemperatureSensor;Temperature
HeatPump07SoleFlowReturnTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump07Temperature;17.26;HeatPump07SoleFlowReturnTemperatureSensor;Temperature
HeatPump07HotWaterFlowInTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump07Temperature;13.977;HeatPump07HotWaterFlowInTemperatureSensor;Temperature
HeatPump07HotWaterFlowReturnTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump07Temperature;12.21;HeatPump07HotWaterFlowReturnTemperatureSensor;Temperature
HeatPump07HighPressureMean;hpcc:MeanObservation;BAR;HeatPump07Pressure;11.357;HeatPump07HighPressureSensor;Pressure
HeatPump07InValvePositionMean;hpcc:MeanObservation;PERCENT;HeatPump07Position;0.197;HeatPump07InValvePositionSensor;Position
HeatPump07OutValvePositionMean;hpcc:MeanObservation;PERCENT;HeatPump07Position;2.36;HeatPump07OutValvePositionSensor;Position
HeatPump08SoleFlowInTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump08Temperature;17.479;HeatPump08SoleFlowInTemperatureSensor;Temperature
HeatPump08SoleFlowReturnTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump08Temperature;17.333;HeatPump08SoleFlowReturnTemperatureSensor;Temperature
HeatPump08HotWaterFlowInTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump08Temperature;15.221;HeatPump08HotWaterFlowInTemperatureSensor;Temperature
HeatPump08HotWaterFlowReturnTemperatureMean;hpcc:MeanObservation;DEG_C;HeatPump08Temperature;13.645;HeatPump08HotWaterFlowReturnTemperatureSensor;Temperature
HeatPump08HighPressureMean;hpcc:MeanObservation;BAR;HeatPump08Pressure;11.656;HeatPump08HighPressureSensor;Pressure
HeatPump08InValvePositionMean;hpcc:MeanObservation;PERCENT;HeatPump08Position;0.237;HeatPump08InValvePositionSensor;Position
HeatPump08OutValvePositionMean;hpcc:MeanObservation;PERCENT;HeatPump08Position;1.793;HeatPump08OutValvePositionSensor;Position
