Individual;rdf:type;sosa:isObservedBy
Pressure;sosa:ObservableProperty;FreeCoolerUP4InletPressureSensor
Pressure;sosa:ObservableProperty;FreeCoolerUP4OutletPressureSensor
Pressure;sosa:ObservableProperty;FreeCoolerFlowInPressureSensor
Pressure;sosa:ObservableProperty;FreeCoolerFlowReturnPressureSensor
Pressure;sosa:ObservableProperty;ReCoolerFlowInPressureSensor
Pressure;sosa:ObservableProperty;ReCoolerFlowReturnPressureSensor
Pressure;sosa:ObservableProperty;PumpUP1InletPressureSensor
Pressure;sosa:ObservableProperty;PumpUP1OutletPressureSensor
Pressure;sosa:ObservableProperty;HeatPump01HighPressureSensor
Pressure;sosa:ObservableProperty;CoolerUP3FlowInPressureSensor
Pressure;sosa:ObservableProperty;CoolerUP3FlowReturnPressureSensor
Pressure;sosa:ObservableProperty;HeatExchangerPrimaryFlowInPressureSensor
Pressure;sosa:ObservableProperty;HeatExchangerPrimaryFlowReturnPressureSensor
Pressure;sosa:ObservableProperty;HeatExchangerPrimaryFlowReturnFilterOutletPressureSensor
Pressure;sosa:ObservableProperty;HeatPump02HighPressureSensor
Pressure;sosa:ObservableProperty;HeatPump03HighPressureSensor
Pressure;sosa:ObservableProperty;HeatPump04HighPressureSensor
Pressure;sosa:ObservableProperty;HeatPump05HighPressureSensor
Pressure;sosa:ObservableProperty;HeatPump06HighPressureSensor
Pressure;sosa:ObservableProperty;HeatPump07HighPressureSensor
Pressure;sosa:ObservableProperty;HeatPump08HighPressureSensor
Temperature;sosa:ObservableProperty;FreeCoolerFlowInTemperatureSensor
Temperature;sosa:ObservableProperty;FreeCoolerFlowReturnTemperatureSensor
Temperature;sosa:ObservableProperty;ReCoolerFlowInTemperatureSensor
Temperature;sosa:ObservableProperty;ReCoolerFlowReturnTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump01SoleFlowInTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump01SoleFlowReturnTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump01HotWaterFlowInTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump01HotWaterFlowReturnTemperatureSensor
Temperature;sosa:ObservableProperty;CoolerFlowInTemperatureSensor
Temperature;sosa:ObservableProperty;CoolerFlowReturnTemperatureSensor
Temperature;sosa:ObservableProperty;CoolerMV19TemperatureSensor
Temperature;sosa:ObservableProperty;GeneralOutSideTemperatureSensor
Temperature;sosa:ObservableProperty;HeatExchangerPrimaryFlowInTemperatureSensor
Temperature;sosa:ObservableProperty;HeatExchangerPrimaryFlowReturnTemperatureSensor
Temperature;sosa:ObservableProperty;HeatExchangerSecondaryFlowInTemperatureSensor
Temperature;sosa:ObservableProperty;HeatExchangerSecondaryFlowReturnTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump02SoleFlowInTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump02SoleFlowReturnTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump02HotWaterFlowInTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump02HotWaterFlowReturnTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump03SoleFlowInTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump03SoleFlowReturnTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump03HotWaterFlowInTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump03HotWaterFlowReturnTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump04SoleFlowInTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump04SoleFlowReturnTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump04HotWaterFlowInTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump04HotWaterFlowReturnTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump05SoleFlowInTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump05SoleFlowReturnTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump05HotWaterFlowInTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump05HotWaterFlowReturnTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump06SoleFlowInTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump06SoleFlowReturnTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump06HotWaterFlowInTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump06HotWaterFlowReturnTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump07SoleFlowInTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump07SoleFlowReturnTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump07HotWaterFlowInTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump07HotWaterFlowReturnTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump08SoleFlowInTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump08SoleFlowReturnTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump08HotWaterFlowInTemperatureSensor
Temperature;sosa:ObservableProperty;HeatPump08HotWaterFlowReturnTemperatureSensor
RotationSpeed;sosa:ObservableProperty;FreeCoolerUP4RotationSpeedSensor
RotationSpeed;sosa:ObservableProperty;ReCoolerRotationSpeedSensor
RotationSpeed;sosa:ObservableProperty;PumpUP1RotationSpeedSensor
RotationSpeed;sosa:ObservableProperty;CoolerUP3RotationSpeedSensor
RotationSpeed;sosa:ObservableProperty;HeatExchangerUPRotationSpeedSensor
Status;sosa:ObservableProperty;FreeCoolerStatusSensor
Status;sosa:ObservableProperty;FreeCoolerReturnSensor
Status;sosa:ObservableProperty;FreeCoolerUP4StatusSensor
Status;sosa:ObservableProperty;ReCoolerStatusSensor
Status;sosa:ObservableProperty;PumpUP1StatusSensor
Status;sosa:ObservableProperty;HeatPump01StatusSensor
