Individual;rdf:type;sosa:hosts
FreeCooler;hpcc:Platform;FreeCoolerStatusSensor
FreeCooler;hpcc:Platform;FreeCoolerReturnSensor
FreeCooler;hpcc:Platform;FreeCoolerUP4StatusSensor
FreeCooler;hpcc:Platform;FreeCoolerUP4RotationSpeedSensor
FreeCooler;hpcc:Platform;FreeCoolerUP4InletPressureSensor
FreeCooler;hpcc:Platform;FreeCoolerUP4OutletPressureSensor
FreeCooler;hpcc:Platform;FreeCoolerFlowInPressureSensor
FreeCooler;hpcc:Platform;FreeCoolerFlowReturnPressureSensor
FreeCooler;hpcc:Platform;FreeCoolerFlowInTemperatureSensor
FreeCooler;hpcc:Platform;FreeCoolerFlowReturnTemperatureSensor
FreeCooler;hpcc:Platform;FreeCoolerAchievedDifferentialPressureVirtualSensor
Recooler;hpcc:Platform;ReCoolerStatusSensor
Recooler;hpcc:Platform;ReCoolerRotationSpeedSensor
Recooler;hpcc:Platform;ReCoolerFlowInTemperatureSensor
Recooler;hpcc:Platform;ReCoolerFlowReturnTemperatureSensor
Recooler;hpcc:Platform;ReCoolerFlowInPressureSensor
Recooler;hpcc:Platform;ReCoolerFlowReturnPressureSensor
PumpUP1;hpcc:Platform;PumpUP1StatusSensor
PumpUP1;hpcc:Platform;PumpUP1InletPressureSensor
PumpUP1;hpcc:Platform;PumpUP1OutletPressureSensor
PumpUP1;hpcc:Platform;PumpUP1RotationSpeedSensor
PumpUP1;hpcc:Platform;PumpUP1AchievedDifferentialPressureVirtualSensor
HeatPump01;hpcc:Platform;HeatPump01StatusSensor
HeatPump01;hpcc:Platform;HeatPump01FlowStatusSensor
HeatPump01;hpcc:Platform;HeatPump01PressureSwitchStatusSensor
HeatPump01;hpcc:Platform;HeatPump01SoleFlowInTemperatureSensor
HeatPump01;hpcc:Platform;HeatPump01SoleFlowReturnTemperatureSensor
HeatPump01;hpcc:Platform;HeatPump01HotWaterFlowInTemperatureSensor
HeatPump01;hpcc:Platform;HeatPump01HotWaterFlowReturnTemperatureSensor
HeatPump01;hpcc:Platform;HeatPump01HighPressureSensor
HeatPump01;hpcc:Platform;HeatPump01InValveStatusSensor
HeatPump01;hpcc:Platform;HeatPump01InValvePositionSensor
HeatPump01;hpcc:Platform;HeatPump01OutValveStatusSensor
HeatPump01;hpcc:Platform;HeatPump01OutValvePositionSensor
