Individual;rdf:type;qudt:hasUnit;qudt:numericValue;hpcc:setForSensor
FreeCoolerDifferentialPressureTargetValue;hpcc:TargetValue;BAR;0.7;FreeCoolerAchievedDifferentialPressureVirtualSensor
PumpUP1DifferentialPressureTargetValue;hpcc:TargetValue;BAR;0.5;PumpUP1AchievedDifferentialPressureVirtualSensor
CoolerUP3DifferentialPressureTargetValue;hpcc:TargetValue;BAR;0.7;CoolerUP3AchievedDifferentialPresureVirtualSensor
HeatExchangerDifferentialPressureTargetValue;hpcc:TargetValue;BAR;0.5;HeatExchangerAchievedDifferentialPressureVirtualSensor
HeatPump01TemperatureTargetValue;hpcc:TargetValue;DEG_C;20.0;HeatPump01HotWaterFlowInTemperatureSensor
HeatPump01TemperatureTargetTolerance;hpcc:TargetValue;K;0.0;HeatPump01HotWaterFlowInTemperatureSensor
HeatPump02TemperatureTargetValue;hpcc:TargetValue;DEG_C;20.0;HeatPump02HotWaterFlowInTemperatureSensor
HeatPump02TemperatureTargetTolerance;hpcc:TargetValue;K;0.0;HeatPump02HotWaterFlowInTemperatureSensor
HeatPump03TemperatureTargetValue;hpcc:TargetValue;DEG_C;20.0;HeatPump03HotWaterFlowInTemperatureSensor
HeatPump03TemperatureTargetTolerance;hpcc:TargetValue;K;0.0;HeatPump03HotWaterFlowInTemperatureSensor
HeatPump04TemperatureTargetValue;hpcc:TargetValue;DEG_C;20.0;HeatPump04HotWaterFlowInTemperatureSensor
HeatPump04TemperatureTargetTolerance;hpcc:TargetValue;K;0.0;HeatPump04HotWaterFlowInTemperatureSensor
HeatPump05TemperatureTargetValue;hpcc:TargetValue;DEG_C;20.0;HeatPump05HotWaterFlowInTemperatureSensor
HeatPump05TemperatureTargetTolerance;hpcc:TargetValue;K;0.0;HeatPump05HotWaterFlowInTemperatureSensor
HeatPump06TemperatureTargetValue;hpcc:TargetValue;DEG_C;20.0;HeatPump06HotWaterFlowInTemperatureSensor
HeatPump06TemperatureTargetTolerance;hpcc:TargetValue;K;0.0;HeatPump06HotWaterFlowInTemperatureSensor
HeatPump07TemperatureTargetValue;hpcc:TargetValue;DEG_C;20.0;HeatPump07HotWaterFlowInTemperatureSensor
HeatPump07TemperatureTargetTolerance;hpcc:TargetValue;K;0.0;HeatPump07HotWaterFlowInTemperatureSensor
HeatPump08TemperatureTargetValue;hpcc:TargetValue;DEG_C;20.0;HeatPump08HotWaterFlowInTemperatureSensor
HeatPump08TemperatureTargetTolerance;hpcc:TargetValue;K;0.0;HeatPump08HotWaterFlowInTemperatureSensor
CoolerTemperatureTargetValue;hpcc:TargetValue;DEG_C;18.0;CoolerMV19TemperatureSensor
CoolerMV1TemperatureTargetValue;hpcc:TargetValue;DEG_C;17.5;CoolerFlowInTemperatureSensor
CoolerMV1TemperatureTargetTolerance;hpcc:TargetValue;K;0.5;CoolerFlowInTemperatureSensor
HeatExchangerFlowInTemperatureTargetValue;hpcc:TargetValue;DEG_C;20.0;HeatExchangerPrimaryFlowInTemperatureSensor
